Cow_ID;Trt;Week;Block;Block;Sum_Steps;Experiment
2041;Outdoor;1;6;6_F2019;1196;F2019
2041;Outdoor;1;6;6_F2019;761;F2019
2041;Outdoor;1;6;6_F2019;1182;F2019
2041;Outdoor;1;6;6_F2019;883;F2019
2041;Outdoor;2;6;6_F2019;1255;F2019
2041;Outdoor;2;6;6_F2019;1075;F2019
2041;Outdoor;2;6;6_F2019;1063;F2019
2041;Outdoor;2;6;6_F2019;1045;F2019
2041;Outdoor;2;6;6_F2019;539;F2019
2041;Outdoor;3;6;6_F2019;1072;F2019
2041;Outdoor;3;6;6_F2019;793;F2019
2041;Outdoor;3;6;6_F2019;868;F2019
2041;Outdoor;3;6;6_F2019;713;F2019
2041;Outdoor;3;6;6_F2019;684;F2019
2041;Outdoor;4;6;6_F2019;1011;F2019
2041;Outdoor;4;6;6_F2019;827;F2019
2041;Outdoor;4;6;6_F2019;850;F2019
2041;Outdoor;4;6;6_F2019;794;F2019
2041;Outdoor;4;6;6_F2019;581;F2019
2041;Outdoor;5;6;6_F2019;531;F2019
2041;Outdoor;5;6;6_F2019;617;F2019
2041;Outdoor;5;6;6_F2019;582;F2019
2041;Outdoor;5;6;6_F2019;461;F2019
2041;Outdoor;5;6;6_F2019;523;F2019
2057;Outdoor;1;5;5_F2019;907;F2019
2057;Outdoor;1;5;5_F2019;291;F2019
2057;Outdoor;1;5;5_F2019;576;F2019
2057;Outdoor;1;5;5_F2019;670;F2019
2057;Outdoor;2;5;5_F2019;587;F2019
2057;Outdoor;2;5;5_F2019;587;F2019
2057;Outdoor;2;5;5_F2019;688;F2019
2057;Outdoor;2;5;5_F2019;659;F2019
2057;Outdoor;2;5;5_F2019;769;F2019
2057;Outdoor;3;5;5_F2019;1286;F2019
2057;Outdoor;3;5;5_F2019;461;F2019
2057;Outdoor;3;5;5_F2019;1127;F2019
2057;Outdoor;3;5;5_F2019;733;F2019
2057;Outdoor;3;5;5_F2019;537;F2019
2057;Outdoor;4;5;5_F2019;582;F2019
2057;Outdoor;4;5;5_F2019;561;F2019
2057;Outdoor;4;5;5_F2019;481;F2019
2057;Outdoor;4;5;5_F2019;627;F2019
2057;Outdoor;4;5;5_F2019;641;F2019
2057;Outdoor;5;5;5_F2019;665;F2019
2057;Outdoor;5;5;5_F2019;533;F2019
2057;Outdoor;5;5;5_F2019;724;F2019
2057;Outdoor;5;5;5_F2019;946;F2019
2057;Outdoor;5;5;5_F2019;463;F2019
2062;Outdoor;1;6;6_F2019;432;F2019
2062;Outdoor;1;6;6_F2019;193;F2019
2062;Outdoor;1;6;6_F2019;476;F2019
2062;Outdoor;1;6;6_F2019;398;F2019
2062;Outdoor;2;6;6_F2019;585;F2019
2062;Outdoor;2;6;6_F2019;605;F2019
2062;Outdoor;2;6;6_F2019;536;F2019
2062;Outdoor;2;6;6_F2019;837;F2019
2062;Outdoor;2;6;6_F2019;639;F2019
2062;Outdoor;3;6;6_F2019;808;F2019
2062;Outdoor;3;6;6_F2019;642;F2019
2062;Outdoor;3;6;6_F2019;609;F2019
2062;Outdoor;3;6;6_F2019;604;F2019
2062;Outdoor;3;6;6_F2019;415;F2019
2062;Outdoor;4;6;6_F2019;570;F2019
2062;Outdoor;4;6;6_F2019;495;F2019
2062;Outdoor;4;6;6_F2019;479;F2019
2062;Outdoor;4;6;6_F2019;396;F2019
2062;Outdoor;4;6;6_F2019;493;F2019
2062;Outdoor;5;6;6_F2019;512;F2019
2062;Outdoor;5;6;6_F2019;456;F2019
2062;Outdoor;5;6;6_F2019;679;F2019
2062;Outdoor;5;6;6_F2019;650;F2019
2062;Outdoor;5;6;6_F2019;614;F2019
2066;Outdoor;1;4;4_F2019;1290;F2019
2066;Outdoor;1;4;4_F2019;570;F2019
2066;Outdoor;1;4;4_F2019;943;F2019
2066;Outdoor;1;4;4_F2019;855;F2019
2066;Outdoor;2;4;4_F2019;900;F2019
2066;Outdoor;2;4;4_F2019;857;F2019
2066;Outdoor;2;4;4_F2019;854;F2019
2066;Outdoor;2;4;4_F2019;776;F2019
2066;Outdoor;2;4;4_F2019;737;F2019
2066;Outdoor;3;4;4_F2019;800;F2019
2066;Outdoor;3;4;4_F2019;742;F2019
2066;Outdoor;3;4;4_F2019;890;F2019
2066;Outdoor;3;4;4_F2019;1010;F2019
2066;Outdoor;3;4;4_F2019;1036;F2019
2066;Outdoor;4;4;4_F2019;1138;F2019
2066;Outdoor;4;4;4_F2019;935;F2019
2066;Outdoor;4;4;4_F2019;845;F2019
2066;Outdoor;4;4;4_F2019;831;F2019
2066;Outdoor;4;4;4_F2019;696;F2019
2066;Outdoor;5;4;4_F2019;864;F2019
2066;Outdoor;5;4;4_F2019;842;F2019
2066;Outdoor;5;4;4_F2019;767;F2019
2066;Outdoor;5;4;4_F2019;733;F2019
2066;Outdoor;5;4;4_F2019;570;F2019
2081;Outdoor;1;3;3_F2019;518;F2019
2081;Outdoor;1;3;3_F2019;822;F2019
2081;Outdoor;1;3;3_F2019;801;F2019
2081;Outdoor;2;3;3_F2019;867;F2019
2081;Outdoor;2;3;3_F2019;715;F2019
2081;Outdoor;2;3;3_F2019;687;F2019
2081;Outdoor;2;3;3_F2019;628;F2019
2081;Outdoor;2;3;3_F2019;657;F2019
2081;Outdoor;3;3;3_F2019;659;F2019
2081;Outdoor;3;3;3_F2019;606;F2019
2081;Outdoor;3;3;3_F2019;548;F2019
2081;Outdoor;3;3;3_F2019;624;F2019
2081;Outdoor;3;3;3_F2019;562;F2019
2081;Outdoor;4;3;3_F2019;677;F2019
2081;Outdoor;4;3;3_F2019;579;F2019
2081;Outdoor;4;3;3_F2019;497;F2019
2081;Outdoor;4;3;3_F2019;634;F2019
2081;Outdoor;4;3;3_F2019;562;F2019
2081;Outdoor;5;3;3_F2019;587;F2019
2081;Outdoor;5;3;3_F2019;614;F2019
2081;Outdoor;5;3;3_F2019;533;F2019
2081;Outdoor;5;3;3_F2019;492;F2019
2081;Outdoor;5;3;3_F2019;453;F2019
3437;Outdoor;1;5;5_F2019;2079;F2019
3437;Outdoor;1;5;5_F2019;1386;F2019
3437;Outdoor;1;5;5_F2019;1853;F2019
3437;Outdoor;1;5;5_F2019;1460;F2019
3437;Outdoor;2;5;5_F2019;1465;F2019
3437;Outdoor;2;5;5_F2019;1387;F2019
3437;Outdoor;2;5;5_F2019;1367;F2019
3437;Outdoor;2;5;5_F2019;1839;F2019
3437;Outdoor;2;5;5_F2019;1015;F2019
3437;Outdoor;3;5;5_F2019;1225;F2019
3437;Outdoor;3;5;5_F2019;1100;F2019
3437;Outdoor;3;5;5_F2019;1204;F2019
3437;Outdoor;3;5;5_F2019;980;F2019
3437;Outdoor;3;5;5_F2019;896;F2019
3437;Outdoor;4;5;5_F2019;1039;F2019
3437;Outdoor;4;5;5_F2019;846;F2019
3437;Outdoor;4;5;5_F2019;863;F2019
3437;Outdoor;4;5;5_F2019;807;F2019
3437;Outdoor;4;5;5_F2019;930;F2019
3437;Outdoor;5;5;5_F2019;980;F2019
3437;Outdoor;5;5;5_F2019;1120;F2019
3437;Outdoor;5;5;5_F2019;553;F2019
3437;Outdoor;5;5;5_F2019;1650;F2019
3437;Outdoor;5;5;5_F2019;1044;F2019
3444;Outdoor;1;4;4_F2019;1503;F2019
3444;Outdoor;1;4;4_F2019;652;F2019
3444;Outdoor;1;4;4_F2019;1257;F2019
3444;Outdoor;1;4;4_F2019;1151;F2019
3444;Outdoor;2;4;4_F2019;1396;F2019
3444;Outdoor;2;4;4_F2019;1093;F2019
3444;Outdoor;2;4;4_F2019;1014;F2019
3444;Outdoor;2;4;4_F2019;744;F2019
3444;Outdoor;2;4;4_F2019;568;F2019
3444;Outdoor;3;4;4_F2019;890;F2019
3444;Outdoor;3;4;4_F2019;720;F2019
3444;Outdoor;3;4;4_F2019;668;F2019
3444;Outdoor;3;4;4_F2019;774;F2019
3444;Outdoor;3;4;4_F2019;718;F2019
3444;Outdoor;4;4;4_F2019;933;F2019
3444;Outdoor;4;4;4_F2019;749;F2019
3444;Outdoor;4;4;4_F2019;934;F2019
3444;Outdoor;4;4;4_F2019;1142;F2019
3444;Outdoor;4;4;4_F2019;676;F2019
3444;Outdoor;5;4;4_F2019;940;F2019
3444;Outdoor;5;4;4_F2019;1100;F2019
3444;Outdoor;5;4;4_F2019;682;F2019
3444;Outdoor;5;4;4_F2019;664;F2019
3444;Outdoor;5;4;4_F2019;683;F2019
5854;Outdoor;1;5;5_F2019;1445;F2019
5854;Outdoor;1;5;5_F2019;913;F2019
5854;Outdoor;1;5;5_F2019;1102;F2019
5854;Outdoor;1;5;5_F2019;1071;F2019
5854;Outdoor;2;5;5_F2019;1176;F2019
5854;Outdoor;2;5;5_F2019;1020;F2019
5854;Outdoor;2;5;5_F2019;1071;F2019
5854;Outdoor;2;5;5_F2019;818;F2019
5854;Outdoor;2;5;5_F2019;485;F2019
5854;Outdoor;3;5;5_F2019;716;F2019
5854;Outdoor;3;5;5_F2019;615;F2019
5854;Outdoor;3;5;5_F2019;486;F2019
5854;Outdoor;3;5;5_F2019;624;F2019
5854;Outdoor;3;5;5_F2019;685;F2019
5854;Outdoor;4;5;5_F2019;490;F2019
5854;Outdoor;4;5;5_F2019;257;F2019
5854;Outdoor;4;5;5_F2019;324;F2019
5854;Outdoor;4;5;5_F2019;507;F2019
5854;Outdoor;4;5;5_F2019;533;F2019
5854;Outdoor;5;5;5_F2019;603;F2019
5854;Outdoor;5;5;5_F2019;650;F2019
5854;Outdoor;5;5;5_F2019;654;F2019
5854;Outdoor;5;5;5_F2019;585;F2019
5854;Outdoor;5;5;5_F2019;679;F2019
5865;Outdoor;1;6;6_F2019;1818;F2019
5865;Outdoor;1;6;6_F2019;1208;F2019
5865;Outdoor;1;6;6_F2019;1329;F2019
5865;Outdoor;1;6;6_F2019;1087;F2019
5865;Outdoor;2;6;6_F2019;1469;F2019
5865;Outdoor;2;6;6_F2019;1085;F2019
5865;Outdoor;2;6;6_F2019;1053;F2019
5865;Outdoor;2;6;6_F2019;1621;F2019
5865;Outdoor;2;6;6_F2019;732;F2019
5865;Outdoor;3;6;6_F2019;894;F2019
5865;Outdoor;3;6;6_F2019;755;F2019
5865;Outdoor;3;6;6_F2019;848;F2019
5865;Outdoor;3;6;6_F2019;722;F2019
5865;Outdoor;3;6;6_F2019;648;F2019
5865;Outdoor;4;6;6_F2019;756;F2019
5865;Outdoor;4;6;6_F2019;814;F2019
5865;Outdoor;4;6;6_F2019;793;F2019
5865;Outdoor;4;6;6_F2019;800;F2019
5865;Outdoor;4;6;6_F2019;736;F2019
5865;Outdoor;5;6;6_F2019;796;F2019
5865;Outdoor;5;6;6_F2019;713;F2019
5865;Outdoor;5;6;6_F2019;650;F2019
5865;Outdoor;5;6;6_F2019;966;F2019
5865;Outdoor;5;6;6_F2019;739;F2019
5874;Outdoor;1;3;3_F2019;1075;F2019
5874;Outdoor;1;3;3_F2019;377;F2019
5874;Outdoor;1;3;3_F2019;698;F2019
5874;Outdoor;1;3;3_F2019;653;F2019
5874;Outdoor;2;3;3_F2019;1007;F2019
5874;Outdoor;2;3;3_F2019;824;F2019
5874;Outdoor;2;3;3_F2019;884;F2019
5874;Outdoor;2;3;3_F2019;1131;F2019
5874;Outdoor;2;3;3_F2019;837;F2019
5874;Outdoor;3;3;3_F2019;1180;F2019
5874;Outdoor;3;3;3_F2019;967;F2019
5874;Outdoor;3;3;3_F2019;898;F2019
5874;Outdoor;3;3;3_F2019;959;F2019
5874;Outdoor;3;3;3_F2019;842;F2019
5874;Outdoor;4;3;3_F2019;914;F2019
5874;Outdoor;4;3;3_F2019;1026;F2019
5874;Outdoor;4;3;3_F2019;1305;F2019
5874;Outdoor;4;3;3_F2019;1072;F2019
5874;Outdoor;4;3;3_F2019;1120;F2019
5874;Outdoor;5;3;3_F2019;814;F2019
5874;Outdoor;5;3;3_F2019;850;F2019
5874;Outdoor;5;3;3_F2019;820;F2019
5874;Outdoor;5;3;3_F2019;926;F2019
5874;Outdoor;5;3;3_F2019;985;F2019
5875;Outdoor;1;3;3_F2019;929;F2019
5875;Outdoor;1;3;3_F2019;532;F2019
5875;Outdoor;1;3;3_F2019;676;F2019
5875;Outdoor;1;3;3_F2019;711;F2019
5875;Outdoor;2;3;3_F2019;952;F2019
5875;Outdoor;2;3;3_F2019;883;F2019
5875;Outdoor;2;3;3_F2019;813;F2019
5875;Outdoor;2;3;3_F2019;821;F2019
5875;Outdoor;2;3;3_F2019;820;F2019
5875;Outdoor;3;3;3_F2019;1026;F2019
5875;Outdoor;3;3;3_F2019;948;F2019
5875;Outdoor;3;3;3_F2019;742;F2019
5875;Outdoor;3;3;3_F2019;782;F2019
5875;Outdoor;3;3;3_F2019;667;F2019
5875;Outdoor;4;3;3_F2019;934;F2019
5875;Outdoor;4;3;3_F2019;838;F2019
5875;Outdoor;4;3;3_F2019;827;F2019
5875;Outdoor;4;3;3_F2019;746;F2019
5875;Outdoor;4;3;3_F2019;691;F2019
5875;Outdoor;5;3;3_F2019;852;F2019
5875;Outdoor;5;3;3_F2019;686;F2019
5875;Outdoor;5;3;3_F2019;660;F2019
5875;Outdoor;5;3;3_F2019;733;F2019
5875;Outdoor;5;3;3_F2019;575;F2019
5879;Outdoor;1;4;4_F2019;691;F2019
5879;Outdoor;1;4;4_F2019;92;F2019
5879;Outdoor;1;4;4_F2019;374;F2019
5879;Outdoor;1;4;4_F2019;358;F2019
5879;Outdoor;2;4;4_F2019;725;F2019
5879;Outdoor;2;4;4_F2019;568;F2019
5879;Outdoor;2;4;4_F2019;533;F2019
5879;Outdoor;2;4;4_F2019;396;F2019
5879;Outdoor;2;4;4_F2019;351;F2019
5879;Outdoor;3;4;4_F2019;468;F2019
5879;Outdoor;3;4;4_F2019;417;F2019
5879;Outdoor;3;4;4_F2019;426;F2019
5879;Outdoor;3;4;4_F2019;653;F2019
5879;Outdoor;3;4;4_F2019;744;F2019
5879;Outdoor;4;4;4_F2019;654;F2019
5879;Outdoor;4;4;4_F2019;217;F2019
5879;Outdoor;4;4;4_F2019;645;F2019
5879;Outdoor;4;4;4_F2019;484;F2019
5879;Outdoor;4;4;4_F2019;350;F2019
5879;Outdoor;5;4;4_F2019;398;F2019
5879;Outdoor;5;4;4_F2019;361;F2019
5879;Outdoor;5;4;4_F2019;314;F2019
5879;Outdoor;5;4;4_F2019;343;F2019
5879;Outdoor;5;4;4_F2019;179;F2019
8517;Outdoor;1;2;2_F2019;1281;F2019
8517;Outdoor;1;2;2_F2019;402;F2019
8517;Outdoor;1;2;2_F2019;862;F2019
8517;Outdoor;1;2;2_F2019;875;F2019
8517;Outdoor;2;2;2_F2019;946;F2019
8517;Outdoor;2;2;2_F2019;838;F2019
8517;Outdoor;2;2;2_F2019;942;F2019
8517;Outdoor;2;2;2_F2019;924;F2019
8517;Outdoor;2;2;2_F2019;731;F2019
8517;Outdoor;3;2;2_F2019;1184;F2019
8517;Outdoor;3;2;2_F2019;756;F2019
8517;Outdoor;3;2;2_F2019;587;F2019
8517;Outdoor;3;2;2_F2019;767;F2019
8517;Outdoor;3;2;2_F2019;667;F2019
8517;Outdoor;4;2;2_F2019;766;F2019
8517;Outdoor;4;2;2_F2019;759;F2019
8517;Outdoor;4;2;2_F2019;758;F2019
8517;Outdoor;4;2;2_F2019;932;F2019
8517;Outdoor;4;2;2_F2019;845;F2019
8517;Outdoor;5;2;2_F2019;1031;F2019
8517;Outdoor;5;2;2_F2019;811;F2019
8517;Outdoor;5;2;2_F2019;786;F2019
8517;Outdoor;5;2;2_F2019;743;F2019
8517;Outdoor;5;2;2_F2019;712;F2019
8526;Outdoor;1;1;1_F2019;1910;F2019
8526;Outdoor;1;1;1_F2019;569;F2019
8526;Outdoor;1;1;1_F2019;1575;F2019
8526;Outdoor;1;1;1_F2019;1306;F2019
8526;Outdoor;2;1;1_F2019;1591;F2019
8526;Outdoor;2;1;1_F2019;1030;F2019
8526;Outdoor;2;1;1_F2019;1153;F2019
8526;Outdoor;2;1;1_F2019;1145;F2019
8526;Outdoor;2;1;1_F2019;827;F2019
8526;Outdoor;3;1;1_F2019;1429;F2019
8526;Outdoor;3;1;1_F2019;1051;F2019
8526;Outdoor;3;1;1_F2019;967;F2019
8526;Outdoor;3;1;1_F2019;1049;F2019
8526;Outdoor;3;1;1_F2019;1015;F2019
8526;Outdoor;4;1;1_F2019;1015;F2019
8526;Outdoor;4;1;1_F2019;736;F2019
8526;Outdoor;4;1;1_F2019;580;F2019
8526;Outdoor;4;1;1_F2019;634;F2019
8526;Outdoor;4;1;1_F2019;660;F2019
8526;Outdoor;5;1;1_F2019;850;F2019
8526;Outdoor;5;1;1_F2019;677;F2019
8526;Outdoor;5;1;1_F2019;590;F2019
8526;Outdoor;5;1;1_F2019;635;F2019
8526;Outdoor;5;1;1_F2019;622;F2019
8527;Outdoor;1;2;2_F2019;934;F2019
8527;Outdoor;1;2;2_F2019;342;F2019
8527;Outdoor;1;2;2_F2019;568;F2019
8527;Outdoor;1;2;2_F2019;486;F2019
8527;Outdoor;2;2;2_F2019;511;F2019
8527;Outdoor;2;2;2_F2019;754;F2019
8527;Outdoor;2;2;2_F2019;676;F2019
